Key,Scu_1,Scu_0,Scu_2,Scu_3,Scu_4,Scu_5
Key,Value,Value,Value,Value,Value,Value
Elastic modulus,6500.239414056264,6449.375051442144,6483.80485755172,6553.822814446719,6493.786379995731,6493.61963311653
toughness full,80.39333030236466,78.8382471187469,80.17621728294743,76.3043640914787,78.64487600390763,77.51986782113642
toughness (up to strain 0.4),36.97376974936464,36.50022796408025,36.40811498428078,36.06099861456203,36.51445052815763,35.53717188971974
Ultimate strength,274.47,250.8033333333333,267.66999999999996,253.9966666666667,264.15666666666664,252.26666666666668
Ultimate strain,0.778088677340245,0.7778651656244303,0.7773647105997615,0.7773495866946141,0.7784593688746417,0.7772322713464647
Failure strength,274.47,250.8,267.65666666666664,253.97,264.15,252.22666666666666
Failure strain,0.778088677340245,0.7780170156244303,0.7775162105997615,0.7774998366946141,0.7786163688746417,0.7773732213464647
Plateau stress,97.59468541202672,94.35351913786695,93.69356783919598,95.42691034226189,95.05380819884995,91.75107026826323
Plateau end stress,126.87309103563474,122.65957487922704,121.80163819095478,124.05498344494046,123.56995065850494,119.27639134874221
Plateau end stress (estimate 1),126.87309103563473,122.65957487922704,121.80163819095478,124.05498344494048,123.56995065850494,119.27639134874221
Pleateu end strain (estimate 1),0.02028640918379122,0.01964977319353524,0.019432062111395074,0.019735508483622523,0.019573080623084948,0.018931826160619825
Plateau end stress (estimate 2),126.87309103563481,122.659574879227,121.80163819095475,124.05498344494042,123.56995065850487,119.27639134874228
Pleateu end strain (estimate 2),0.06126469581537114,0.06576830155903735,0.06704940651593334,0.058921777643225544,0.06595178712317058,0.06567840645921132
Plateau end stress (estimate 3),126.87309103563516,122.65957487922643,121.8016381909543,124.0549834449398,123.56995065850582,119.27639134874214
Pleateu end strain (estimate 3),0.71703389032153,0.7130155201578074,0.7115951098034249,0.7229987928819142,0.7251056858646547,0.7138658208870629
Yield stress (estimate 1),164.73674427832074,163.32712828804927,161.9553381140434,162.11244659226787,163.48208822572033,160.5953269296867
Yield strain (estimate 1),0.02734318104070025,0.027324489114885123,0.026978441157959353,0.026735555290711602,0.027175156474093055,0.026731249442248528
Upper limit strain,0.71703389032153,0.7130155201578074,0.7115951098034249,0.7229987928819142,0.7251056858646547,0.7138658208870629
Upper limit stress,126.65333333333334,121.95333333333333,120.27,123.51333333333334,121.30666666666667,117.14000000000001
Upper limit energy,68.64209763369797,67.67872160833026,67.58910407803077,66.0622811029787,68.20819515407428,65.96429529546975
Upper limit energy efficicency,0.5419683464077637,0.5549558979527437,0.5619780832961734,0.5348595112779622,0.5622790323758595,0.5631235726094396
Upper limit ideality,0.7558015527664536,0.7782915490206022,0.7896795742052459,0.7397257042192633,0.7754138944933012,0.7888340673679272
Local maximum Stress 1,167.80463333333333,166.03773333333334,165.74908333333332,163.18101666666666,167.3268,162.28756666666666
Local maximum Strain 1,0.03968409234024494,0.039507685374430265,0.03917588334976156,0.03891178294461405,0.03995373462464172,0.03912492784646462
Local maximum Stress 2,102.60005,104.76100000000001,99.20471666666667,102.71543333333334,103.53743333333335,97.16003333333335
Local maximum Strain 2,0.3087575173402449,0.27506060862443027,0.31951391159976156,0.2632284251946141,0.29775236187464177,0.2745374690964646
Local maximum Stress 3,108.38969999999999,98.57138333333333,99.61081666666666,96.90875,98.09365,100.58465
Local maximum Strain 3,0.375455136590245,0.38601784512443016,0.35276209359976163,0.363592998944614,0.36439451912464177,0.3747979590964646
Local maximum Stress 4,115.41760000000001,107.94795,102.48873333333333,89.25951666666666,100.01588333333333,113.92165000000001
Local maximum Strain 4,0.564172283840245,0.5422307861244303,0.3969916445997616,0.474767662944614,0.4085688733746417,0.5745953253464646
Local maximum Stress 5,258.52009363295883,237.10329608938545,112.82415,105.60473333333333,116.95766666666667,239.19250936329587
Local maximum Strain 5,0.7733370891379977,0.7732436759596258,0.5750361250997615,0.5747002256946141,0.5753607483746417,0.772595422750959
Number of averaged datapoints,71.0,71.0,71.0,71.0,71.0,71.0
Local maximum Stress 6,,,255.13940074906367,241.3143258426966,251.21199255121044,
Local maximum Strain 6,,,0.7727244476784132,0.7727357611328162,0.7738665280925188,
